County,Household Income (million EUR),Persons at Work (%),Disposable Income (pp),Total Activities,Total Accommodation,Total Attractions,Activity Range,Accommodation Range,Attraction Range,Dis_Income_Stand,House_Income_MinMax,Per_Wor_MinMax,Activities_MinMax,Accommodation_MinMax,Attractions_MinMax
Carlow,2032.3,0.88,24606.46,76,21,4,0.0,0.0,1.0,0.99572544521546,0.017252755818294448,0.01104787412119183,0.0440251572327044,0.043333333333333335,0.12121212121212122
Cavan,2333.79,1.53,21096.88,55,41,3,0.0,1.0,0.0,-0.7689229985037966,0.022200141944641594,0.032808838299296955,0.025157232704402517,0.11000000000000001,0.09090909090909091
Clare,3892.75,1.12,21834.88,324,156,5,2.0,2.0,1.0,-0.39784994945952007,0.04778234060970557,0.019082691663876803,0.26684636118598387,0.49333333333333335,0.15151515151515152
Cork,20711.12,12.83,24599.56,653,252,26,2.0,2.0,2.0,0.9922560630496,0.3237681789651169,0.41111483093404755,0.5624438454627134,0.8133333333333335,0.7878787878787878
Donegal,4242.44,2.91,19252.82,391,176,7,2.0,2.0,1.0,-1.6961329806455163,0.0535206783805183,0.07900903916973552,0.32704402515723274,0.56,0.21212121212121213
Dublin,61920.18,30.42,27958.06,1140,234,1,2.0,2.0,0.0,2.680940121606785,1.0000000000000002,1.0,1.0,0.7533333333333334,0.030303030303030304
Galway,9216.74,7.18,23495.35,504,243,14,2.0,2.0,2.0,0.43704932661981455,0.135147872676477,0.22196183461667224,0.4285714285714286,0.7833333333333334,0.42424242424242425
Kerry,4669.78,1.38,21937.4,535,308,33,2.0,2.0,2.0,-0.3463019698009572,0.06053323596860809,0.02778707733511884,0.4564240790655886,1.0000000000000002,1.0
Kildare,8743.87,5.33,24298.59,133,50,4,1.0,1.0,1.0,0.8409256354468136,0.12738817757028517,0.16002678272514229,0.09523809523809523,0.14,0.12121212121212122
Kilkenny,2926.9,1.39,19695.82,181,49,5,1.0,1.0,1.0,-1.4733885894170413,0.031932949617857136,0.028121861399397385,0.13836477987421383,0.13666666666666666,0.15151515151515152
Laois,2479.65,1.38,19659.47,57,20,4,0.0,0.0,1.0,-1.4916656969140045,0.024593673207333536,0.02778707733511884,0.02695417789757413,0.039999999999999994,0.12121212121212122
Leitrim,980.93,0.55,21168.81,53,37,3,0.0,0.0,0.0,-0.7327559464472181,0.0,0.0,0.023360287511230912,0.09666666666666666,0.09090909090909091
Limerick,7357.94,5.02,25189.64,182,57,7,1.0,1.0,1.0,1.2889536034019657,0.10464536403057144,0.14964847673250753,0.13926325247079965,0.16333333333333333,0.21212121212121213
Longford,1325.33,0.84,22542.76,27,8,3,0.0,0.0,0.0,-0.04192150778274295,0.005651530007343378,0.009708737864077666,0.0,0.0,0.09090909090909091
Louth,4596.28,2.95,24152.58,104,34,7,1.0,0.0,1.0,0.7675104919631358,0.059327116759723825,0.08034817542684967,0.06918238993710693,0.08666666666666667,0.21212121212121213
Mayo,4134.7,1.64,21848.41,336,143,14,2.0,2.0,2.0,-0.39104694356037556,0.051752688127930685,0.036491463006360886,0.27762803234501354,0.45,0.42424242424242425
Meath,7045.65,3.6,22627.77,123,61,5,1.0,1.0,1.0,0.0008222861186861919,0.0995207522245515,0.1021091396049548,0.0862533692722372,0.17666666666666667,0.15151515151515152
Monaghan,1894.2,1.35,21516.29,41,24,0,0.0,0.0,0.0,-0.5580398718104904,0.01498656448840444,0.02678272514228323,0.012578616352201262,0.05333333333333333,0.0
Offaly,2360.1,1.53,20805.73,69,21,0,0.0,0.0,0.0,-0.9153158416328503,0.02263188339206669,0.032808838299296955,0.03773584905660378,0.043333333333333335,0.0
Roscommon,1937.74,0.62,20476.58,66,24,2,0.0,0.0,0.0,-1.0808154271246158,0.015701046534048253,0.00234348844994978,0.03504043126684637,0.05333333333333333,0.06060606060606061
Sligo,2055.02,1.49,21207.14,191,55,8,1.0,1.0,2.0,-0.7134832771113557,0.017625586137013503,0.03146970204218279,0.1473495058400719,0.15666666666666668,0.24242424242424243
Tipperary,5477.17,3.32,23472.72,156,74,7,1.0,2.0,1.0,0.4256707587338105,0.073782332404813,0.09273518580515566,0.11590296495956873,0.22,0.21212121212121213
Waterford,4051.33,3.88,23476.59,215,59,8,2.0,1.0,2.0,0.4276166296007495,0.05038460433956769,0.11148309340475392,0.16891284815813118,0.17,0.24242424242424243
Westmeath,3199.79,2.2,24130.19,103,35,1,0.0,0.0,0.0,0.7562525982394197,0.03641101588877448,0.055239370605959154,0.06828391734052111,0.09,0.030303030303030304
Wexford,4863.83,2.02,22527.29,192,82,10,1.0,2.0,2.0,-0.049699963160404245,0.06371755477791408,0.04921325744894542,0.14824797843665768,0.2466666666666667,0.30303030303030304
Wicklow,5608.27,2.64,24701.71,200,73,2,2.0,1.0,0.0,1.0436180033746298,0.07593365523861881,0.06996986943421493,0.15543575920934413,0.21666666666666667,0.06060606060606061
