Household Income (million EUR),Persons at Work (%),Disposable Income (pp),Total Activities,Total Accommodation,Total Attractions,Activity Range,Accommodation Range,Attraction Range,County_Carlow,County_Cavan,County_Clare,County_Cork,County_Donegal,County_Dublin,County_Galway,County_Kerry,County_Kildare,County_Kilkenny,County_Laois,County_Leitrim,County_Limerick,County_Longford,County_Louth,County_Mayo,County_Meath,County_Monaghan,County_Offaly,County_Roscommon,County_Sligo,County_Tipperary,County_Waterford,County_Westmeath,County_Wexford,County_Wicklow,Dis_Income_Stand,House_Income_MinMax,Per_Wor_MinMax,Activities_MinMax,Accommodation_MinMax,Attractions_MinMax
2032,0,24606,76,21,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9957305699217621,0.01726288152280932,0.0,0.0440251572327044,0.043333333333333335,0.12121212121212122
2333,1,21096,55,41,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7690510775711971,0.02220216606498195,0.03333333333333333,0.025157232704402517,0.11000000000000001,0.09090909090909091
3892,1,21834,324,156,5,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.39799442348293385,0.04778470626846078,0.03333333333333333,0.26684636118598387,0.49333333333333335,0.15151515151515152
20711,12,24599,653,252,26,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9922110623626594,0.32377748605185425,0.4,0.5624438454627134,0.8133333333333335,0.7878787878787878
4242,2,19252,391,176,7,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6961899259976976,0.05352806038726615,0.06666666666666667,0.32704402515723274,0.56,0.21212121212121213
61920,30,27958,1140,234,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68107190393783,0.9999999999999999,1.0,1.0,0.7533333333333334,0.030303030303030304
9216,7,23495,504,243,14,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4371344416127372,0.13514932720708894,0.23333333333333334,0.4285714285714286,0.7833333333333334,0.42424242424242425
4669,1,21937,535,308,33,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3462073836847074,0.06053495241220873,0.03333333333333333,0.4564240790655886,1.0000000000000002,1.0
8743,5,24298,133,50,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8408722373212404,0.12738759435510338,0.16666666666666666,0.09523809523809523,0.14,0.12121212121212122
2926,1,19695,181,49,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4734553761859082,0.031933048900557925,0.03333333333333333,0.13836477987421383,0.13666666666666666,0.15151515151515152
2479,1,19659,57,20,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4915557007755795,0.024597965211683625,0.03333333333333333,0.02695417789757413,0.039999999999999994,0.12121212121212122
980,0,21168,53,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7328504283918543,0.0,0.0,0.023360287511230912,0.09666666666666666,0.09090909090909091
7357,5,25189,182,57,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.288855270915607,0.10464391204463405,0.16666666666666666,0.13926325247079965,0.16333333333333333,0.21212121212121213
1325,0,22542,27,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.042021373219396765,0.005661306202822448,0.0,0.0,0.0,0.09090909090909091
4596,2,24152,104,34,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7674653653742398,0.05933705283885789,0.06666666666666667,0.06918238993710693,0.08666666666666667,0.21212121212121213
4134,1,21848,336,143,14,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.3909554083647283,0.051755825402034786,0.03333333333333333,0.27762803234501354,0.45,0.42424242424242425
7045,3,22627,123,61,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0007155042839939826,0.09952412208729898,0.1,0.0862533692722372,0.17666666666666667,0.15151515151515152
1894,1,21516,41,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.557880624025031,0.014998359041680339,0.03333333333333333,0.012578616352201262,0.05333333333333333,0.0
2360,1,20805,69,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9153620346710407,0.022645224811289794,0.03333333333333333,0.03773584905660378,0.043333333333333335,0.0
1937,0,20476,66,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0807788899488708,0.01570397111913357,0.0,0.03504043126684637,0.05333333333333333,0.06060606060606061
2055,1,21207,191,55,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.7132417434197104,0.01764030193633082,0.03333333333333333,0.1473495058400719,0.15666666666666668,0.24242424242424243
5477,3,23472,156,74,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4255703453471138,0.07379389563505086,0.1,0.11590296495956873,0.22,0.21212121212121213
4051,3,23476,215,59,8,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.42758149252374394,0.05039382999671807,0.1,0.16891284815813118,0.17,0.24242424242424243
3199,2,24130,103,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7564040559027739,0.036412865113226126,0.06666666666666667,0.06828391734052111,0.09,0.030303030303030304
4863,2,22527,192,82,10,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.04956317513175984,0.06371841155234656,0.06666666666666667,0.14824797843665768,0.2466666666666667,0.30303030303030304
5608,2,24701,200,73,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0434953153667283,0.07594355103380374,0.06666666666666667,0.15543575920934413,0.21666666666666667,0.06060606060606061
